company,year,metric,value_apa,value_climate_trace,default_value,default_source,default_certainty,n_sources,source_spread_pct
Aceros AZA SA,2022,production_mt,,0.321,0.321,climate_trace,0.7,1.0,
Aceros AZA SA,2023,emissions_mt_co2,,0.027,0.027,climate_trace,0.72,1.0,
Aceros AZA SA,2023,production_mt,,0.335,0.335,climate_trace,0.72,1.0,
Aceros AZA SA,2024,emissions_mt_co2,,0.03,0.03,climate_trace,0.72,1.0,
Aceros AZA SA,2024,production_mt,,0.369,0.369,climate_trace,0.72,1.0,
Aceros AZA SA,2025,emissions_mt_co2,,0.03,0.03,climate_trace,0.72,1.0,
Aceros AZA SA,2025,production_mt,,0.37,0.37,climate_trace,0.72,1.0,
Aceros Especiales Simec Tlaxcala SA de CV,2021,emissions_mt_co2,,0.107,0.107,climate_trace,0.7,1.0,
Aceros Especiales Simec Tlaxcala SA de CV,2021,production_mt,,1.333,1.333,climate_trace,0.7,1.0,
Aceros Especiales Simec Tlaxcala SA de CV,2022,emissions_mt_co2,,0.099,0.099,climate_trace,0.7,1.0,
Aceros Especiales Simec Tlaxcala SA de CV,2022,production_mt,,1.232,1.232,climate_trace,0.7,1.0,
Aceros Especiales Simec Tlaxcala SA de CV,2023,emissions_mt_co2,,0.087,0.087,climate_trace,0.72,1.0,
Aceros Especiales Simec Tlaxcala SA de CV,2023,production_mt,,1.089,1.089,climate_trace,0.72,1.0,
Aceros Especiales Simec Tlaxcala SA de CV,2024,emissions_mt_co2,,0.073,0.073,climate_trace,0.72,1.0,
Aceros Especiales Simec Tlaxcala SA de CV,2024,production_mt,,0.915,0.915,climate_trace,0.72,1.0,
Aceros Especiales Simec Tlaxcala SA de CV,2025,emissions_mt_co2,,0.057,0.057,climate_trace,0.72,1.0,
Aceros Especiales Simec Tlaxcala SA de CV,2025,production_mt,,0.711,0.711,climate_trace,0.72,1.0,
Acindar Industria Argentina de Aceros SA,2021,emissions_mt_co2,,0.924,0.924,climate_trace,0.7,1.0,
Acindar Industria Argentina de Aceros SA,2021,production_mt,,1.462,1.462,climate_trace,0.7,1.0,
Acindar Industria Argentina de Aceros SA,2022,emissions_mt_co2,,0.974,0.974,climate_trace,0.7,1.0,
Acindar Industria Argentina de Aceros SA,2022,production_mt,,1.541,1.541,climate_trace,0.7,1.0,
Acindar Industria Argentina de Aceros SA,2023,emissions_mt_co2,,0.925,0.925,climate_trace,0.72,1.0,
Acindar Industria Argentina de Aceros SA,2023,production_mt,,1.464,1.464,climate_trace,0.72,1.0,
Acindar Industria Argentina de Aceros SA,2024,emissions_mt_co2,,0.668,0.668,climate_trace,0.72,1.0,
Acindar Industria Argentina de Aceros SA,2024,production_mt,,1.058,1.058,climate_trace,0.72,1.0,
Acindar Industria Argentina de Aceros SA,2025,emissions_mt_co2,,0.503,0.503,climate_trace,0.72,1.0,
Acindar Industria Argentina de Aceros SA,2025,production_mt,,0.796,0.796,climate_trace,0.72,1.0,
Aco Verde do Brasil SA,2021,emissions_mt_co2,,0.774,0.774,climate_trace,0.7,1.0,
Aco Verde do Brasil SA,2021,production_mt,,0.407,0.407,climate_trace,0.7,1.0,
Aco Verde do Brasil SA,2022,emissions_mt_co2,,0.831,0.831,climate_trace,0.7,1.0,
Aco Verde do Brasil SA,2022,production_mt,,0.438,0.438,climate_trace,0.7,1.0,
Aco Verde do Brasil SA,2023,emissions_mt_co2,,0.778,0.778,climate_trace,0.72,1.0,
Aco Verde do Brasil SA,2023,production_mt,,0.409,0.409,climate_trace,0.72,1.0,
Aco Verde do Brasil SA,2024,emissions_mt_co2,,0.892,0.892,climate_trace,0.72,1.0,
Aco Verde do Brasil SA,2024,production_mt,,0.47,0.47,climate_trace,0.72,1.0,
Aco Verde do Brasil SA,2025,emissions_mt_co2,,0.66,0.66,climate_trace,0.72,1.0,
Aco Verde do Brasil SA,2025,production_mt,,0.348,0.348,climate_trace,0.72,1.0,
Agha Steel Industries Ltd,2021,emissions_mt_co2,,0.074,0.074,climate_trace,0.7,1.0,
Agha Steel Industries Ltd,2021,production_mt,,0.275,0.275,climate_trace,0.7,1.0,
Agha Steel Industries Ltd,2022,emissions_mt_co2,,0.073,0.073,climate_trace,0.7,1.0,
Agha Steel Industries Ltd,2022,production_mt,,0.272,0.272,climate_trace,0.7,1.0,
Agha Steel Industries Ltd,2023,emissions_mt_co2,,0.074,0.074,climate_trace,0.72,1.0,
Agha Steel Industries Ltd,2023,production_mt,,0.274,0.274,climate_trace,0.72,1.0,
Agha Steel Industries Ltd,2024,emissions_mt_co2,,0.073,0.073,climate_trace,0.72,1.0,
Agha Steel Industries Ltd,2024,production_mt,,0.27,0.27,climate_trace,0.72,1.0,
Agha Steel Industries Ltd,2025,emissions_mt_co2,,0.059,0.059,climate_trace,0.72,1.0,
Agha Steel Industries Ltd,2025,production_mt,,0.22,0.22,climate_trace,0.72,1.0,
Aichi Steel Corp,2021,emissions_mt_co2,,0.104,0.104,climate_trace,0.7,1.0,
Aichi Steel Corp,2021,production_mt,,1.301,1.301,climate_trace,0.7,1.0,
Aichi Steel Corp,2022,emissions_mt_co2,,0.09,0.09,climate_trace,0.7,1.0,
Aichi Steel Corp,2022,production_mt,,1.123,1.123,climate_trace,0.7,1.0,
Aichi Steel Corp,2023,emissions_mt_co2,,0.095,0.095,climate_trace,0.72,1.0,
Aichi Steel Corp,2023,production_mt,,1.19,1.19,climate_trace,0.72,1.0,
Aichi Steel Corp,2024,emissions_mt_co2,,0.093,0.093,climate_trace,0.72,1.0,
Aichi Steel Corp,2024,production_mt,,1.159,1.159,climate_trace,0.72,1.0,
Aichi Steel Corp,2025,emissions_mt_co2,,0.059,0.059,climate_trace,0.72,1.0,
Aichi Steel Corp,2025,production_mt,,0.74,0.74,climate_trace,0.72,1.0,
Al Ezz Dekheila Steel Company Alexandria SAE,2021,emissions_mt_co2,,1.792,1.792,climate_trace,0.7,1.0,
Al Ezz Dekheila Steel Company Alexandria SAE,2021,production_mt,,2.196,2.196,climate_trace,0.7,1.0,
Al Ezz Dekheila Steel Company Alexandria SAE,2022,emissions_mt_co2,,1.709,1.709,climate_trace,0.7,1.0,
Al Ezz Dekheila Steel Company Alexandria SAE,2022,production_mt,,2.095,2.095,climate_trace,0.7,1.0,
Al Ezz Dekheila Steel Company Alexandria SAE,2023,emissions_mt_co2,,1.709,1.709,climate_trace,0.72,1.0,
Al Ezz Dekheila Steel Company Alexandria SAE,2023,production_mt,,2.094,2.094,climate_trace,0.72,1.0,
Al Ezz Dekheila Steel Company Alexandria SAE,2024,emissions_mt_co2,,1.688,1.688,climate_trace,0.72,1.0,
Al Ezz Dekheila Steel Company Alexandria SAE,2024,production_mt,,2.069,2.069,climate_trace,0.72,1.0,
Al Ezz Dekheila Steel Company Alexandria SAE,2025,emissions_mt_co2,,1.36,1.36,climate_trace,0.72,1.0,
Al Ezz Dekheila Steel Company Alexandria SAE,2025,production_mt,,1.666,1.666,climate_trace,0.72,1.0,
Al Ezz Flat Steel Company SAE,2021,emissions_mt_co2,,1.288,1.288,climate_trace,0.7,1.0,
Al Ezz Flat Steel Company SAE,2021,production_mt,,1.578,1.578,climate_trace,0.7,1.0,
Al Ezz Flat Steel Company SAE,2022,emissions_mt_co2,,1.228,1.228,climate_trace,0.7,1.0,
Al Ezz Flat Steel Company SAE,2022,production_mt,,1.506,1.506,climate_trace,0.7,1.0,
Al Ezz Flat Steel Company SAE,2023,emissions_mt_co2,,1.667,1.667,climate_trace,0.72,1.0,
Al Ezz Flat Steel Company SAE,2023,production_mt,,2.042,2.042,climate_trace,0.72,1.0,
Al Ezz Flat Steel Company SAE,2024,emissions_mt_co2,,2.057,2.057,climate_trace,0.72,1.0,
Al Ezz Flat Steel Company SAE,2024,production_mt,,2.521,2.521,climate_trace,0.72,1.0,
Al Ezz Flat Steel Company SAE,2025,emissions_mt_co2,,1.657,1.657,climate_trace,0.72,1.0,
Al Ezz Flat Steel Company SAE,2025,production_mt,,2.031,2.031,climate_trace,0.72,1.0,
Alchevsk Metallurgical Plant PJSC,2021,emissions_mt_co2,,3.326,3.326,climate_trace,0.7,1.0,
Alchevsk Metallurgical Plant PJSC,2021,production_mt,,1.751,1.751,climate_trace,0.7,1.0,
Alchevsk Metallurgical Plant PJSC,2022,emissions_mt_co2,,0.87,0.87,climate_trace,0.7,1.0,
Alchevsk Metallurgical Plant PJSC,2022,production_mt,,0.458,0.458,climate_trace,0.7,1.0,
Alchevsk Metallurgical Plant PJSC,2023,emissions_mt_co2,,1.163,1.163,climate_trace,0.72,1.0,
Alchevsk Metallurgical Plant PJSC,2023,production_mt,,0.612,0.612,climate_trace,0.72,1.0,
Alchevsk Metallurgical Plant PJSC,2024,emissions_mt_co2,,1.497,1.497,climate_trace,0.72,1.0,
Alchevsk Metallurgical Plant PJSC,2024,production_mt,,0.788,0.788,climate_trace,0.72,1.0,
Alchevsk Metallurgical Plant PJSC,2025,emissions_mt_co2,,0.924,0.924,climate_trace,0.72,1.0,
Alchevsk Metallurgical Plant PJSC,2025,production_mt,,0.486,0.486,climate_trace,0.72,1.0,
Alfa Acciai SpA,2021,emissions_mt_co2,,0.127,0.127,climate_trace,0.7,1.0,
Alfa Acciai SpA,2021,production_mt,,1.586,1.586,climate_trace,0.7,1.0,
Alfa Acciai SpA,2022,emissions_mt_co2,,0.108,0.108,climate_trace,0.7,1.0,
Alfa Acciai SpA,2022,production_mt,,1.356,1.356,climate_trace,0.7,1.0,
Alfa Acciai SpA,2023,emissions_mt_co2,,0.106,0.106,climate_trace,0.72,1.0,
Alfa Acciai SpA,2023,production_mt,,1.328,1.328,climate_trace,0.72,1.0,
Alfa Acciai SpA,2024,emissions_mt_co2,,0.1,0.1,climate_trace,0.72,1.0,
Alfa Acciai SpA,2024,production_mt,,1.253,1.253,climate_trace,0.72,1.0,
Alfa Acciai SpA,2025,emissions_mt_co2,,0.082,0.082,climate_trace,0.72,1.0,
Alfa Acciai SpA,2025,production_mt,,1.023,1.023,climate_trace,0.72,1.0,
